Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLens1M,MostPop,020%,020%,N,-,-,0.07709,0.18072,0.07443,0.0212,0.07146,0.17632,0.06849,0.02003,0.0611,0.0234,0.06277,0.06875,1.82139,1.82139,1.82139,1.82139,0.78241,0.78241,0.78241,0.78241,11.0,11.0,11.0,11.0,0.61,0.61,0.61,0.61,120720,0,0.32089,0.35757,0.0125,0.01407,0.28935,0.32175,0.01903,0.02176
MovieLens1M,MostPop,020%,020%,CL,0.3,-,0.07837,0.18047,0.07583,0.02193,0.07338,0.17632,0.07058,0.0207,0.06326,0.02344,0.06505,0.07087,1.78081,1.77414,1.78095,1.78498,0.78871,0.7957,0.78851,0.78538,11.222,11.35099,11.22515,11.03642,1.53,1.38,1.53,1.32,120720,0,0.27338,0.3097,0.01077,0.01239,0.24617,0.27828,0.01644,0.01902
MovieLens1M,MostPop,020%,020%,CCL,0.3,-,0.07804,0.18072,0.07524,0.02586,0.07251,0.17632,0.06939,0.02467,0.06251,0.0234,0.06358,0.08251,1.81215,1.82139,1.81197,1.80625,0.77778,0.78241,0.77864,0.75777,12.94052,11.0,12.99116,13.9702,1.53,0.61,1.53,1.53,120720,0,0.27802,0.30991,0.0125,0.01407,0.24983,0.27759,0.01569,0.01825
