Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLens1M,VAECF,020%,020%,N,-,-,0.10198,0.18446,0.10039,0.04818,0.09609,0.18195,0.09451,0.03858,0.09354,0.0245,0.09504,0.13561,2.40191,2.66354,2.39753,2.21889,0.78215,0.78213,0.78213,0.7825,11.54307,11.65563,11.53387,11.59603,32.79,19.29,31.69,11.87,116141,4579,0.33421,0.37288,0.01331,0.0149,0.30124,0.3355,0.01965,0.02248
MovieLens1M,VAECF,020%,020%,CL,0.3,-,0.10288,0.18351,0.10154,0.04625,0.09622,0.18096,0.09485,0.03609,0.09463,0.02445,0.09684,0.1251,2.37672,2.63223,2.37218,2.20269,0.75297,0.80583,0.75072,0.74052,10.81461,11.72185,10.80228,10.12914,31.72,18.56,30.28,11.29,116125,4595,0.20215,0.23166,0.00924,0.01074,0.18206,0.20841,0.01085,0.01251
MovieLens1M,VAECF,020%,020%,CCL,0.3,-,0.10321,0.18351,0.10157,0.05242,0.09661,0.18096,0.095,0.04123,0.09645,0.02445,0.09787,0.14294,2.37651,2.63223,2.37142,2.21224,0.77196,0.80583,0.77009,0.77171,13.27237,11.72185,13.2859,14.57947,31.72,18.56,30.18,10.8,116314,4406,0.22645,0.25958,0.00924,0.01074,0.20229,0.23139,0.01492,0.01745
