Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLens1M,UserKNN-BM25,020%,020%,N,-,-,0.02189,0.03484,0.02204,0.0063,0.02136,0.03709,0.02129,0.00695,0.02123,0.005,0.02193,0.02484,3.93746,4.96802,3.88084,3.92526,0.80779,0.81067,0.80758,0.80865,11.87194,12.41722,11.84812,11.75497,29.54,15.43,28.74,17.33,81130,39590,0.35418,0.394,0.01498,0.0166,0.31833,0.35347,0.02086,0.02394
MovieLens1M,UserKNN-BM25,020%,020%,CL,0.3,-,0.02109,0.03491,0.02121,0.00497,0.02151,0.03907,0.02139,0.00613,0.02099,0.00527,0.02182,0.02182,3.95421,4.74353,3.90039,4.13297,0.78967,0.82664,0.78858,0.77225,11.07522,12.01325,11.05983,10.41391,29.02,14.82,28.37,16.99,80093,40627,0.20319,0.23094,0.00939,0.01083,0.18341,0.20825,0.01038,0.01185
MovieLens1M,UserKNN-BM25,020%,020%,CCL,0.3,-,0.0205,0.03491,0.02057,0.00479,0.02091,0.03907,0.02076,0.00546,0.02017,0.00527,0.02106,0.0191,3.97739,4.74397,3.92626,4.1305,0.80328,0.82656,0.80217,0.80002,13.6221,12.00331,13.61892,15.29801,29.02,14.82,28.37,15.8,80322,40398,0.22869,0.26053,0.0094,0.01084,0.20427,0.23215,0.01502,0.01754
