Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLens1M,NeuMF,020%,020%,N,-,-,0.10715,0.17435,0.10666,0.04873,0.1006,0.17301,0.10004,0.03825,0.09795,0.02363,0.1002,0.13198,2.60665,2.71197,2.6111,2.42125,0.78719,0.78549,0.78753,0.78269,11.79788,11.92384,11.80265,11.58609,45.15,23.96,44.33,18.19,112082,8638,0.33715,0.37596,0.01355,0.01513,0.30351,0.33783,0.02008,0.023
MovieLens1M,NeuMF,020%,020%,CL,0.3,-,0.10578,0.17114,0.10551,0.04533,0.0999,0.1707,0.09943,0.03758,0.0987,0.02333,0.10106,0.1317,2.57968,2.65025,2.58534,2.40744,0.75987,0.80466,0.75807,0.74747,10.94052,11.92053,10.93501,10.0596,43.47,22.67,42.42,17.67,112154,8566,0.19934,0.22774,0.00916,0.0106,0.1795,0.20487,0.01068,0.01227
MovieLens1M,NeuMF,020%,020%,CCL,0.3,-,0.10744,0.17095,0.10724,0.04757,0.10105,0.1707,0.10058,0.0399,0.10131,0.02333,0.10362,0.13776,2.58052,2.65047,2.58617,2.40885,0.77964,0.80464,0.77829,0.7789,13.48592,11.92053,13.50976,14.62252,43.01,22.67,42.12,17.21,112681,8039,0.2254,0.25801,0.00916,0.0106,0.20133,0.22996,0.01491,0.01745
