Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLens1M,WMF,020%,020%,N,-,-,0.06828,0.16052,0.06545,0.02688,0.06296,0.15281,0.06013,0.02401,0.05837,0.02032,0.05901,0.08483,2.15387,2.26036,2.15145,2.09106,0.79445,0.78639,0.79504,0.79182,11.23873,11.00662,11.24356,11.38411,3.37,2.21,3.28,2.76,120712,8,0.37622,0.42016,0.01628,0.01817,0.33915,0.37816,0.02079,0.02383
MovieLens1M,WMF,020%,020%,CL,0.3,-,0.0682,0.15874,0.06556,0.02507,0.06485,0.15464,0.06222,0.02235,0.05972,0.02056,0.06084,0.07867,2.08421,2.19206,2.08059,2.04161,0.78751,0.81443,0.78713,0.76746,10.45577,11.10927,10.4444,10.00662,3.53,2.39,3.47,2.76,120716,4,0.23062,0.26432,0.0102,0.01188,0.20815,0.23824,0.01227,0.0142
MovieLens1M,WMF,020%,020%,CCL,0.3,-,0.06844,0.15863,0.06547,0.03177,0.06494,0.15447,0.06206,0.02715,0.06013,0.02054,0.06043,0.09437,2.07204,2.19209,2.06837,2.01795,0.79539,0.81446,0.7952,0.77971,12.60454,11.11258,12.62371,13.75166,3.56,2.39,3.47,2.7,120713,7,0.24371,0.27874,0.01019,0.01187,0.21838,0.24916,0.01514,0.0177
