Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLens1M,BPR,020%,020%,N,-,-,0.0813,0.18217,0.07873,0.02658,0.0769,0.17798,0.07414,0.02533,0.06459,0.02361,0.06561,0.0871,1.89219,2.10346,1.88405,1.82739,0.78026,0.78457,0.78065,0.76894,11.22101,10.77152,11.22533,11.59272,7.24,6.96,6.41,1.72,120715,5,0.33836,0.37708,0.0138,0.01553,0.3045,0.33861,0.02006,0.02293
MovieLens1M,BPR,020%,020%,CL,0.3,-,0.08419,0.18874,0.08139,0.02998,0.07871,0.18245,0.07579,0.02748,0.06647,0.02443,0.06713,0.09661,1.86311,2.07157,1.85522,1.79652,0.75173,0.78645,0.74997,0.74862,10.30666,11.3543,10.28811,9.59272,7.12,6.81,6.26,1.81,120710,10,0.21357,0.24636,0.00956,0.01116,0.1922,0.2215,0.01181,0.0137
MovieLens1M,BPR,020%,020%,CCL,0.3,-,0.08538,0.18874,0.0828,0.02842,0.07974,0.18245,0.07704,0.0255,0.06894,0.02443,0.07058,0.08403,1.85185,2.07157,1.84434,1.76732,0.76285,0.78645,0.76137,0.76589,12.63751,11.3543,12.66145,13.49007,7.12,6.81,6.26,1.81,120710,10,0.22825,0.26199,0.00956,0.01116,0.20396,0.23358,0.01473,0.01725
