Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLensSmall,UserKNN-BM25,020%,020%,N,-,-,0.00036,0.0028,0.00024,0.0,0.00016,0.00167,9e-05,0.0,3e-05,0.00016,2e-05,0.0,9.19237,9.171,9.20145,9.04751,0.6659,0.69015,0.66457,0.666,12.52545,13.03333,12.48816,12.7,1.86,0.96,1.6,1.68,3,12177,0.35275,0.39078,0.01495,0.01649,0.31827,0.35228,0.01953,0.02201
MovieLensSmall,UserKNN-BM25,020%,020%,CL,0.3,-,0.00026,0.0053,0.0,0.0,0.00016,0.00333,0.0,0.0,2e-05,0.00031,0.0,0.0,9.20951,9.20767,9.2161,9.09083,0.77637,0.80703,0.77595,0.75337,13.89819,14.93333,13.9071,12.7,1.87,0.88,1.68,1.52,2,12178,0.1744,0.19491,0.00655,0.00745,0.15805,0.17658,0.0098,0.01087
MovieLensSmall,UserKNN-BM25,020%,020%,CCL,0.3,-,0.00025,0.00499,0.0,0.0,0.00016,0.00333,0.0,0.0,2e-05,0.00031,0.0,0.0,9.17072,9.211,9.1765,9.02468,0.75394,0.79575,0.75346,0.72101,15.51232,14.3,15.54463,16.13333,1.88,0.9,1.6,1.65,3,12177,0.24225,0.26606,0.00715,0.00815,0.21855,0.2397,0.01655,0.01821
