Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLensSmall,VAECF,020%,020%,N,-,-,0.06557,0.14665,0.06377,0.01748,0.05878,0.14167,0.05665,0.015,0.06725,0.01512,0.07064,0.05734,2.087,2.31595,2.06962,2.17604,0.70852,0.73741,0.70694,0.70862,13.88342,14.46667,13.85428,13.83333,2.43,1.38,2.02,0.82,12143,37,0.29453,0.32213,0.01164,0.01299,0.26606,0.29031,0.01683,0.01883
MovieLensSmall,VAECF,020%,020%,CL,0.3,-,0.07035,0.16308,0.06763,0.02751,0.06273,0.15167,0.06011,0.02167,0.07414,0.0166,0.07711,0.07738,2.03187,2.26541,2.01529,2.10171,0.74841,0.78213,0.74804,0.7216,14.32348,15.0,14.35701,13.03333,2.36,1.27,1.97,0.85,12144,36,0.136,0.1506,0.00554,0.0064,0.12272,0.13554,0.00774,0.00866
MovieLensSmall,VAECF,020%,020%,CCL,0.3,-,0.07131,0.16316,0.06901,0.02164,0.06346,0.15167,0.06111,0.01833,0.07436,0.0167,0.07768,0.07123,2.01999,2.27451,2.00148,2.10428,0.75237,0.77575,0.75098,0.75444,16.90312,14.46667,16.97268,18.06667,2.27,1.27,1.91,0.85,12143,37,0.20827,0.22869,0.00645,0.00742,0.18693,0.20466,0.01489,0.0166
