Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLensSmall,NeuMF,020%,020%,N,-,-,0.07216,0.09996,0.07333,0.02297,0.06593,0.11,0.06621,0.01667,0.07847,0.01238,0.08319,0.05813,2.33271,2.96586,2.30772,2.15691,0.73055,0.75796,0.7297,0.71872,14.91133,15.63333,14.87614,14.83333,3.71,2.87,3.03,0.98,12176,4,0.28273,0.31188,0.01065,0.01158,0.2556,0.28164,0.01647,0.01866
MovieLensSmall,NeuMF,020%,020%,CL,0.3,-,0.07313,0.12655,0.07307,0.02091,0.06757,0.12833,0.06685,0.02,0.07661,0.01504,0.08066,0.06401,2.25525,2.95918,2.22807,2.04867,0.75794,0.78211,0.75788,0.73502,14.39901,15.13333,14.42441,13.2,3.47,2.59,2.83,0.84,12174,6,0.12837,0.14263,0.0054,0.00617,0.11567,0.12827,0.0073,0.00818
MovieLensSmall,NeuMF,020%,020%,CCL,0.3,-,0.07291,0.12983,0.07255,0.02257,0.06823,0.13333,0.0673,0.02,0.08091,0.01547,0.08536,0.06488,2.2757,2.91582,2.25086,2.09002,0.75945,0.77865,0.75886,0.7511,17.46962,15.1,17.52459,18.83333,3.52,2.61,2.9,0.92,12175,5,0.20994,0.23149,0.00652,0.00733,0.18825,0.20719,0.01517,0.01697
