Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLensSmall,MostPop,020%,020%,N,-,-,0.06354,0.13966,0.06166,0.0219,0.05887,0.14,0.05665,0.01833,0.06501,0.01528,0.06737,0.07155,2.02111,2.02126,2.0211,2.02104,0.71243,0.71266,0.71245,0.71181,11.15107,11.1,11.14936,11.23333,0.23,0.23,0.23,0.23,12180,0,0.32979,0.37132,0.01478,0.01683,0.29698,0.33391,0.01803,0.02058
MovieLensSmall,MostPop,020%,020%,CL,0.3,-,0.06641,0.14656,0.06415,0.02768,0.06043,0.145,0.05792,0.02167,0.07129,0.01594,0.07339,0.08821,1.9764,1.98524,1.97603,1.97432,0.75354,0.76416,0.75331,0.747,13.72906,14.6,13.71767,13.06667,0.51,0.37,0.51,0.45,12180,0,0.19754,0.2168,0.00762,0.00844,0.17802,0.19494,0.0119,0.01342
MovieLensSmall,MostPop,020%,020%,CCL,0.3,-,0.06362,0.15013,0.06115,0.02216,0.05731,0.14833,0.05446,0.01833,0.06349,0.01613,0.06529,0.0779,1.98351,1.9845,1.9828,1.99559,0.72954,0.76154,0.72831,0.72004,12.85714,14.3,12.81967,12.1,0.56,0.42,0.56,0.27,12180,0,0.25789,0.28703,0.00807,0.009,0.2333,0.25922,0.01652,0.01881
