Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLensSmall,BPR,020%,020%,N,-,-,0.06508,0.13058,0.06354,0.02775,0.06059,0.13333,0.05856,0.025,0.06687,0.01419,0.06894,0.08159,2.03206,2.03043,2.03215,2.03204,0.74513,0.72389,0.74628,0.74527,14.133,13.66667,14.16576,14.0,0.39,0.39,0.29,0.22,12180,0,0.29037,0.31858,0.0121,0.0133,0.26162,0.28653,0.01665,0.01875
MovieLensSmall,BPR,020%,020%,CL,0.3,-,0.06681,0.15069,0.06499,0.01624,0.06076,0.14333,0.05865,0.01667,0.06736,0.01557,0.07095,0.05349,1.9971,2.00835,1.99643,1.99808,0.75075,0.77148,0.75043,0.73589,14.19376,15.4,14.18944,13.06667,0.56,0.5,0.56,0.56,12180,0,0.13061,0.14482,0.00523,0.00587,0.11822,0.13095,0.00716,0.008
MovieLensSmall,BPR,020%,020%,CCL,0.3,-,0.06935,0.13237,0.06805,0.03029,0.06305,0.13333,0.06111,0.02833,0.07121,0.01495,0.07273,0.09964,1.95521,2.00744,1.95375,1.92977,0.75859,0.76436,0.7573,0.77648,17.30378,14.5,17.3643,19.0,0.56,0.53,0.56,0.3,12180,0,0.22181,0.24453,0.00705,0.00796,0.19913,0.21897,0.01562,0.01759
