Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLensSmall,ItemKNN-Cosine,020%,020%,N,-,-,0.00038,0.00128,0.00036,0.0,0.00057,0.00167,0.00055,0.0,0.00032,0.00011,0.00034,0.0,8.96216,9.01205,8.96884,8.79,0.77453,0.7656,0.77557,0.76436,13.9491,13.5,13.98543,13.73333,28.27,3.48,25.89,5.95,314,11866,0.33184,0.36857,0.0145,0.01605,0.29995,0.33302,0.01738,0.0195
MovieLensSmall,ItemKNN-Cosine,020%,020%,CL,0.3,-,0.00055,0.0032,0.00043,0.0,0.00074,0.00333,0.00064,0.0,0.00034,0.00022,0.00037,0.0,8.96654,8.89463,8.97878,8.81454,0.78184,0.79649,0.78184,0.76723,14.18062,14.83333,14.19308,13.3,27.09,3.45,24.87,5.59,303,11877,0.16543,0.18615,0.00681,0.0078,0.14973,0.1683,0.00889,0.01005
MovieLensSmall,ItemKNN-Cosine,020%,020%,CCL,0.3,-,0.00049,0.00315,0.00037,0.0,0.00066,0.00333,0.00055,0.0,0.00027,0.00022,0.00028,0.0,8.96331,8.9114,8.97751,8.75535,0.79539,0.79448,0.79491,0.80517,16.16256,14.43333,16.20036,17.2,27.22,3.43,24.87,5.76,304,11876,0.23952,0.26563,0.00766,0.00874,0.21529,0.23835,0.01657,0.01855
