Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_Pop,ndcg_Div,ndcg_UNPOP,Pre_ALL,Pre_POP,Pre_DIV,Pre_UNPOP,Rec_ALL,Rec_POP,Rec_DIV,Rec_UNPOP,Nov_ALL,Nov_POP,Nov_DIV,Nov_UNPOP,Dive_ALL,Dive_POP,Dive_DIV,Dive_UNPOP,CatCov_ALL,CatCov_POP,CatCov_DIV,CatCov_UNPOP,Cov_ALL,Cov_POP,Cov_DIV,Cov_UNPOP,Short_CNT,Long_CNT,avg_JSH_all,avg_Hell_all,avg_JSH_pop,avg_Hell_pop,avg_JSH_div,avg_Hell_div,avg_JSH_unpop,avg_Hell_unpop
MovieLensSmall,WMF,020%,020%,N,-,-,0.06674,0.13281,0.06548,0.02377,0.06223,0.12333,0.06111,0.02167,0.08066,0.01256,0.0842,0.08401,3.1146,4.38907,3.04673,3.08216,0.75193,0.75597,0.75209,0.74503,14.92939,14.76667,14.95811,14.56667,18.55,4.88,16.12,3.16,11448,732,0.27537,0.30293,0.01144,0.01255,0.24853,0.27306,0.0154,0.01732
MovieLensSmall,WMF,020%,020%,CL,0.3,-,0.06518,0.1465,0.06286,0.02622,0.06264,0.14167,0.06029,0.02667,0.08206,0.01436,0.08476,0.10044,3.09916,4.34688,3.03687,2.99121,0.76438,0.78825,0.76408,0.74606,14.33169,15.16667,14.35519,13.06667,17.39,4.58,15.21,2.91,11468,712,0.1253,0.14045,0.00534,0.0061,0.1134,0.12693,0.00655,0.00741
MovieLensSmall,WMF,020%,020%,CCL,0.3,-,0.06936,0.15171,0.06722,0.02625,0.06527,0.14,0.06339,0.025,0.08472,0.01435,0.08775,0.09956,3.07953,4.35202,3.01399,3.00636,0.76204,0.78798,0.76045,0.76508,16.15928,14.8,16.15665,17.56667,17.67,4.61,15.58,2.95,11482,698,0.21024,0.23215,0.00642,0.00732,0.18907,0.20837,0.01475,0.01647
